"Jahr"	"Ökologischer Fussabdruck Schweiz"	"Biokapazität Schweiz"
1961	4.34150565735759	1.34946651176748
1962	4.6438964717013	1.36794599637264
1963	4.56689248824069	1.29334821594383
1964	4.66885170095627	1.29339338779572
1965	4.61461419900564	1.24012587019806
1966	4.53813109305243	1.23446329034448
1967	4.7480659766159	1.26924828310362
1968	4.76553408848535	1.23079385063706
1969	5.34408814507276	1.22247838598893
1970	5.84137003065434	1.20438327995254
1971	6.03430519112054	1.22233768661297
1972	6.20421868054471	1.25569287877839
1973	6.46460320014163	1.24652238928682
1974	5.91785346818542	1.26023620694418
1975	5.11308611148043	1.24158677111886
1976	5.36711824570343	1.23218956631393
1977	5.45353414700901	1.2120375669266
1978	5.87169413734179	1.25323854674418
1979	5.8380046052408	1.28147532327779
1980	6.00722337879204	1.24830022571821
1981	5.73531799767718	1.26482456976015
1982	5.35299712957673	1.28872395487665
1983	5.61088563774996	1.24946862582599
1984	5.85921778823262	1.30427625535714
1985	5.88063165683491	1.27661605783059
1986	6.05465399854309	1.27639987622328
1987	5.91746059076647	1.26189837576581
1988	6.06243076959183	1.34057283700501
1989	6.33606831809427	1.3534471588046
1990	6.47415901628392	1.36372912262283
1991	6.20049561505761	1.3536245353809
1992	5.95267990317169	1.34896648179724
1993	5.62125109696759	1.33734273132146
1994	5.68331018136415	1.31595606743226
1995	5.74312516459988	1.31208584249438
1996	5.60526662807805	1.34295368323773
1997	5.6579546413734	1.29771195691331
1998	5.72577312003404	1.32572725807129
1999	5.50793488317204	1.25765351654131
2000	5.59380634560102	1.29737910549536
2001	5.36837644888896	1.25349589306514
2002	5.41088115380856	1.26251853829216
2003	5.37656102214764	1.20582509439623
2004	5.39957294945528	1.23343055631197
2005	5.66724285246178	1.20691528237614
2006	5.66713809557999	1.18879178217496
2007	5.88614292248406	1.19029038290118
2008	5.84455278216027	1.15981022134485
2009	5.46677666165422	1.15297355545463
2010	5.48425822518319	1.12608544647173
2011	5.41552861625282	1.12952301858033
2012	5.12040189333363	1.0955409327843
2013	5.15863296836695	1.05817391878729
2014	4.87060027124398	1.08146618220816
2015	4.74726395785908	1.04887767194856
2016	4.63700630054822	1.00434539039986
